borrower_id,flag,active,reason,evaluated_year,evaluated_scenario,evaluated_branch
B001,DEFAULT_VALUES,true,"supplier data is default, so default emission values were used. Defaults are conservative, so the cost is more likely high than low, and verified data would reduce it.",2027,delayed_transition,adopted
B001,ESTIMATED_INPUTS,false,,2027,delayed_transition,adopted
B001,LOW_PASS_THROUGH,false,,2027,delayed_transition,adopted
B001,MONITOR,false,,2027,delayed_transition,adopted
B001,NEGATIVE_EBITDA,false,,2027,delayed_transition,adopted
B001,NO_DECLARANT,false,,2027,delayed_transition,adopted
B001,ORIGIN_UNKNOWN,false,,2027,delayed_transition,adopted
B001,RATING_GAP,false,,2027,delayed_transition,adopted
B001,SUPPLIER_CONCENTRATION,true,"80% of supply comes from CN, above the 60% parameter, which is outside the EU and in CBAM scope.",2027,delayed_transition,adopted
B002,DEFAULT_VALUES,true,"supplier data is default, so default emission values were used. Defaults are conservative, so the cost is more likely high than low, and verified data would reduce it.",2027,delayed_transition,adopted
B002,ESTIMATED_INPUTS,false,,2027,delayed_transition,adopted
B002,LOW_PASS_THROUGH,false,,2027,delayed_transition,adopted
B002,MONITOR,false,,2027,delayed_transition,adopted
B002,NEGATIVE_EBITDA,false,,2027,delayed_transition,adopted
B002,NO_DECLARANT,true,carries a direct obligation above the threshold but declarant status is no. Only an authorised CBAM declarant may import these goods.,2027,delayed_transition,adopted
B002,ORIGIN_UNKNOWN,false,,2027,delayed_transition,adopted
B002,RATING_GAP,true,CBAM band MH sits 3 bands above the bank's own transition rating of L. The existing rating may not reflect this risk.,2027,delayed_transition,adopted
B002,SUPPLIER_CONCENTRATION,false,,2027,delayed_transition,adopted
B003,DEFAULT_VALUES,true,"supplier data is default, so default emission values were used. Defaults are conservative, so the cost is more likely high than low, and verified data would reduce it.",2027,delayed_transition,adopted
B003,ESTIMATED_INPUTS,false,,2027,delayed_transition,adopted
B003,LOW_PASS_THROUGH,false,,2027,delayed_transition,adopted
B003,MONITOR,true,"20 t of counting CBAM goods against a 50 t threshold, so nothing is owed this year. A small rise in volume creates a full-year obligation backdated to 1 January.",2027,delayed_transition,adopted
B003,NEGATIVE_EBITDA,false,,2027,delayed_transition,adopted
B003,NO_DECLARANT,false,,2027,delayed_transition,adopted
B003,ORIGIN_UNKNOWN,false,,2027,delayed_transition,adopted
B003,RATING_GAP,false,,2027,delayed_transition,adopted
B003,SUPPLIER_CONCENTRATION,true,"90% of supply comes from UA, above the 60% parameter, which is outside the EU and in CBAM scope.",2027,delayed_transition,adopted
B004,DEFAULT_VALUES,false,,2027,delayed_transition,adopted
B004,ESTIMATED_INPUTS,false,,2027,delayed_transition,adopted
B004,LOW_PASS_THROUGH,false,,2027,delayed_transition,adopted
B004,MONITOR,false,,2027,delayed_transition,adopted
B004,NEGATIVE_EBITDA,false,,2027,delayed_transition,adopted
B004,NO_DECLARANT,false,,2027,delayed_transition,adopted
B004,ORIGIN_UNKNOWN,false,,2027,delayed_transition,adopted
B004,RATING_GAP,false,,2027,delayed_transition,adopted
B004,SUPPLIER_CONCENTRATION,false,,2027,delayed_transition,adopted
B005,DEFAULT_VALUES,true,"supplier data is default, so default emission values were used. Defaults are conservative, so the cost is more likely high than low, and verified data would reduce it.",2027,delayed_transition,adopted
B005,ESTIMATED_INPUTS,false,,2027,delayed_transition,adopted
B005,LOW_PASS_THROUGH,false,,2027,delayed_transition,adopted
B005,MONITOR,false,,2027,delayed_transition,adopted
